HSC_MPP_Drissen_et_al,PLSCR4
HSC_MPP_Drissen_et_al,THAP9
HSC_MPP_Drissen_et_al,PIK3IP1
HSC_MPP_Drissen_et_al,PGBD4
HSC_MPP_Drissen_et_al,CTTNBP2NL
HSC_MPP_Drissen_et_al,ARHGEF40
HSC_MPP_Drissen_et_al,NPR3
HSC_MPP_Drissen_et_al,SLC37A3
HSC_MPP_Drissen_et_al,BIRC3
HSC_MPP_Drissen_et_al,TFPI
HSC_MPP_Drissen_et_al,HIST2H2BE
HSC_MPP_Drissen_et_al,CYBRD1
HSC_MPP_Drissen_et_al,SOCS2
HSC_MPP_Drissen_et_al,LOC344595
HSC_MPP_Drissen_et_al,DCUN1D4
HSC_MPP_Drissen_et_al,CLIC2
HSC_MPP_Drissen_et_al,MEIS1
HSC_MPP_Drissen_et_al,LOC100131289
HSC_MPP_Drissen_et_al,GSTM2P1
HSC_MPP_Drissen_et_al,GUCY1A3
HSC_MPP_Drissen_et_al,IDS
HSC_MPP_Drissen_et_al,DYNLT3
HSC_MPP_Drissen_et_al,ZNF677
HSC_MPP_Drissen_et_al,KLHL3
HSC_MPP_Drissen_et_al,THAP2
HSC_MPP_Drissen_et_al,SPEF2
HSC_MPP_Drissen_et_al,ZNF165
HSC_MPP_Drissen_et_al,TRIM22
HSC_MPP_Drissen_et_al,ZNF267
HSC_MPP_Drissen_et_al,CFL2
HSC_MPP_Drissen_et_al,ZNF614
HSC_MPP_Drissen_et_al,PION
HSC_MPP_Drissen_et_al,LOC374443
HSC_MPP_Drissen_et_al,RAPGEF2
HSC_MPP_Drissen_et_al,NRIP1
HSC_MPP_Drissen_et_al,USP6
HSC_MPP_Drissen_et_al,SNTB1
HSC_MPP_Drissen_et_al,FOXO1
HSC_MPP_Drissen_et_al,LOC100130691
HSC_MPP_Drissen_et_al,BNIP3L
HSC_MPP_Drissen_et_al,LRP6
HSC_MPP_Drissen_et_al,SC5DL
HSC_MPP_Drissen_et_al,SYPL1
HSC_MPP_Drissen_et_al,ABCB1
HSC_MPP_Drissen_et_al,ANXA5
HSC_MPP_Drissen_et_al,NAP1L3
HSC_MPP_Drissen_et_al,PTPRC
HSC_MPP_Drissen_et_al,KANK1
HSC_MPP_Drissen_et_al,PCBD1
HSC_MPP_Drissen_et_al,ZC2HC1A
HSC_MPP_Drissen_et_al,LIN9
HSC_MPP_Drissen_et_al,PTEN
HSC_MPP_Drissen_et_al,CAPN2
HSC_MPP_Drissen_et_al,ANGPT1
HSC_MPP_Drissen_et_al,IL6ST
HSC_MPP_Drissen_et_al,ATP1B1
HSC_MPP_Drissen_et_al,ZXDB
HSC_MPP_Drissen_et_al,ATPBD4
HSC_MPP_Drissen_et_al,PDIK1L
HSC_MPP_Drissen_et_al,GNPDA2
HSC_MPP_Drissen_et_al,BBS2
HSC_MPP_Drissen_et_al,ZNF23
HSC_MPP_Popescu_et_al,SPINK2
HSC_MPP_Popescu_et_al,SMIM24
HSC_MPP_Popescu_et_al,CYTL1
HSC_MPP_Popescu_et_al,PRSS57
HSC_MPP_Popescu_et_al,CD34
HSC_MPP_Popescu_et_al,HOPX
HSC_MPP_Popescu_et_al,C1QTNF4
HSC_MPP_Popescu_et_al,MLLT3
HSC_MPP_Popescu_et_al,RPS3
HSC_MPP_Popescu_et_al,CDCA7
HSC_MPP_Popescu_et_al,RPS4X
HSC_MPP_Popescu_et_al,RP11-620J15.3
HSC_MPP_Popescu_et_al,NPM1
HSC_MPP_Popescu_et_al,EEF1B2
HSC_MPP_Popescu_et_al,APEX1
HSC_MPP_Popescu_et_al,LDHB
HSC_MPP_Popescu_et_al,ITM2A
HSC_MPP_Popescu_et_al,RPL10A
HSC_MPP_Popescu_et_al,RPL3
HSC_MPP_Popescu_et_al,EIF3E
HSC_MPP_Popescu_et_al,EGFL7
HSC_MPP_Popescu_et_al,ZFAS1
HSC_MPP_Popescu_et_al,RPL7
HSC_MPP_Popescu_et_al,RPS18
